,Titulo,Fecha,Autor,Volanta
49,Denuncian la desaparición de 87 personas durante las protestas en Colombia  ,2021-05-05,,La Defensoría del Pueblo señaló además que sus funcionarios son amenazados por la policía
50,Coronavirus: Francia empieza a salir del encierro,2021-05-05,Por Eduardo Febbro,Emmanuel Macrón anunció un cronograma de desconfinamiento progresivo
51,"Isabel Díaz Ayuso, la versión española del populismo liberal, arrasa en las urnas y fuerza la dimisión de Pablo Iglesias",2021-05-05,,Victoria del trumpismo y terremoto en la izquierda en las elecciones en Madrid
52,"Isabel Díaz Ayuso, la gran ganadora de las elecciones regionales de Madrid",2021-05-04,,La presidenta de la Comunidad duplicó el resultado obtenido en 2019
53,Pablo Iglesias deja la política tras su derrota en Madrid,2021-05-04,,"“En este momento no sumo”, aseguró."
54,Una cerveza gratis a cambio de aceptar vacunarse contra el coronavirus,2021-05-04,,Insólita propuesta del estado de Nueva Jersey
55,Un exministro de Salud dijo haber advertido a Bolsonaro sobre un posible colapso sanitario,2021-05-04,,Comenzó a trabajar la comisión parlamentaria que investiga la gestión de la pandemia en Brasil
56,"Rodolfo, siempre del lado del bien",2021-05-05,Por Daniel Miguez,
57,Homo Madrileño,2021-05-04,Por Rodrigo Fresán,
58,"""En esta noche, en este mundo""",2021-05-03,Por Lila María Feldman,
59,El topo vuelve,2021-04-30,Por Emir Sader,
60,Anular.Serás.Ropero,2021-04-29,Por Adrián Paenza,
61,"Pensadores radicales, Europa y Latinoamérica",2021-04-28,Por Jorge Alemán,
62,Homo Documentado,2021-04-27,Por Rodrigo Fresán,
63,El racismo y los refugiados del capitalismo hegemónico,2021-04-26,Por Jorge Majfud,
64,La enfermedad y el terror,2021-04-25,Por Mariana Enriquez,
65,Verbicidio,2021-04-24,Por Sandra Russo,
66," Entre Ginóbili, Bitcoins y los nuevos tesoros digitales",2021-04-22,Por Adrián Paenza,NFT o el valor de las cosas no fungibles
